P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"vacuum","NN","NN","pressing","VBG|NN|JJ","NN","instead","RB","RB","of","IN|RB_1|IN_3","IN","plant","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","new","JJ","JJ","system","NN","NN","will","MD|NN|VB","MD","supply","NN|VB","NN"
"<O>","<O>","<O>","driving","VBG|NN|JJ","NN","on","IN|RP|RB_3","IN","Judge","NPT","NPT","ban","NN|VB","NN"
"fined","VBN","VBN","in","IN|RP|RB_1","IN","case","NN","NN","&period;","SPER|IN","SPER","drink","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","county","NN","NN","judge","NN|VB","NN","in","IN|RP|RB_1","IN","court","NN|VB","NN"
"county","NN","NN","court","NN|VB","NN","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","judge","NN|VB","NN"
"under","IN|RB|RP","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","drink","NN|VB","NN","influence","NN|VB","NN"
"influence","NN|VB","NN","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","drink","NN|VB","NN"
"<O>","<O>","<O>","his","PPG|PPGG","PPG","was","BEDZ","BEDZ","given","VBN|JJ|IN","VBN","address","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","the","ATI|RB_2|NC","ATI","reversed","VBN|VBD|JJ","VBD","away","RP|NC","RP","judge","NN|VB","NN"
"followed","VBN|VBD","VBD","the","ATI|RB_2|NC","ATI","for","IN|CS|IN_2","IN","over","IN|RP|RB","RB","judge","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","drove","VBD|NN","VBD","erratically","RB","RB","judge","NN|VB","NN"
"<O>","<O>","<O>","his","PPG|PPGG","PPG","varied","JJ|VBD|VBN","VBD","from","IN|IN_2|RB_2","IN","speed","NN|VB","NN"
"eventually","RB","RB","the","ATI|RB_2|NC","ATI","stopped","VBD|VBN","VBD","and","CC|RB_1|RB_2","CC","judge","NN|VB","NN"
"eventually","RB","RB","the","ATI|RB_2|NC","ATI","agreed","VBD|VBN|JJ","VBD","to","TO|IN|IN_2","TO","judge","NN|VB","NN"
"helped","VBD|VBN","VBD","the","ATI|RB_2|NC","ATI","towards","IN","IN","the","ATI|RB_2|NC","ATI","judge","NN|VB","NN"
"<O>","<O>","<O>","impeccable","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","record","NN|VB","NN"
"<O>","<O>","<O>","county","NN","NN","Judge","NPT","NPT","Rowe","NP","NP","court","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","Herefordshire","NP","NP","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","branch","NN|VB","NN"
"<O>","<O>","<O>","his","PPG|PPGG","PPG","had","HVD|HVN","HVD","resulted","VBD|VBN","VBN","condition","NN|VB","NN"
"not","XNOT","XNOT","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","alcoholic","JJ|NN","JJ","result","NN|VB","NN"
"submitted","VBN|VBD","VBD","a","AT|AP_1|RB_1","AT","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","report","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","&apos;s","GENM|BEZ|HVZ","GENM","condition","NN|VB","NN","judge","NN|VB","NN"
"judge","NN|VB","NN","&apos;s","GENM|BEZ|HVZ","GENM","&period;","SPER|IN","SPER","<O>","<O>","<O>","condition","NN|VB","NN"
"with","IN|IN_2|RI","IN","his","PPG|PPGG","PPG","&period;","SPER|IN","SPER","<O>","<O>","<O>","lunch","NN|VB","NN"
"from","IN|IN_2|RB_2","IN","a","AT|AP_1|RB_1","AT","which","WDTR|WDT","WDTR","could","MD","MD","condition","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","&apos;s","GENM|BEZ|HVZ","GENM","driving","VBG|NN|JJ","NN","judge","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","driving","VBG|NN|JJ","NN","was","BEDZ","BEDZ","&lsquo;","SQSO","SQSO","record","NN|VB","NN"
"was","BEDZ","BEDZ","no","ATI|UH|RB","ATI","of","IN|RB_1|IN_3","IN","him","PP3O","PP3O","question","NN|VB","NN"
"until","CS|IN","CS","his","PPG|PPGG","PPG","was","BEDZ","BEDZ","remedied","VBN","VBN","condition","NN|VB","NN"
"robbed","VBN|VBD","VBN","near","IN|RI|JJ","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","bank","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","escaped","VBN|VBD|JJ","VBD","in","IN|RP|RB_1","IN","gang","NN|VB","NN"
"was","BEDZ","BEDZ","your","PPG","PPG","for","IN|CS|IN_2","IN","not","XNOT","XNOT","reason","NN|VB","NN"
"was","BEDZ","BEDZ","one","CD1|PN_2|PPLS_1","CD1","&period;","SPER|IN","SPER","&rdquo;","SQDC","SQDC","reason","NN|VB","NN"
"been","BEN","BEN","a","AT|AP_1|RB_1","AT","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","practice","NN|VB","NN"
"under","IN|RB|RP","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","grievance","NN","NN","sense","NN|VB","NN"
"high","JJ|RB|NC","JJ","street","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","plan","NN|VB","NN"
"proposal","NN","NN","formed","VBN|VBD|JJ","VBD","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","part","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","development","NN","NN","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","plan","NN|VB","NN"
"an","AT","AT","office","NN","NN","area","NN","NN","&comma;","SCOM","SCOM","block","NN|VB","NN"
"an","AT","AT","inner","JJB","JJB","road","NN","NN","&period;","SPER|IN","SPER","ring","NN|VB","NN"
"inspector","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","which","WDTR|WDT","WDTR","runs","VBZ|NNS","VBZ","report","NN|VB","NN"
"be","BE|RB_2","BE","a","AT|AP_1|RB_1","AT","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","report","NN|VB","NN"
"as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","recent","JJ","JJ","result","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","committee","NN","NN","for","IN|CS|IN_2","IN","state","NN|VB","NN"
"asked","VBD|VBN","VBN","what","WDT|WDT_1","WDT","the","ATI|RB_2|NC","ATI","recent","JJ","JJ","benefit","NN|VB","NN"
"by","IN|RP|IN_1","IN","the","ATI|RB_2|NC","ATI","and","CC|RB_1|RB_2","CC","smoke","NN|VB","NN","heat","NN|VB","NN"
"heat","NN|VB","NN","and","CC|RB_1|RB_2","CC","&period;","SPER|IN","SPER","<O>","<O>","<O>","smoke","NN|VB","NN"
"&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","students","NNS","NNS","number","NN|VB","NN"
"puts","VBZ","VBZ","the","ATI|RB_2|NC","ATI","at","IN|RB_1|NC","IN","10","CD","CD","increase","NN|VB","NN"
"under","IN|RB|RP","IN","constant","JJ|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","review","NN|VB","NN"
"as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","result","NN|VB","NN"
"international","JJ|NN","JJ","air","NN|FW","NN","association","NN","NN","&dash;","SDSH","SDSH","transport","NN|VB","NN"
"from","IN|IN_2|RB_2","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","European","JNP|NNP","JNP","number","NN|VB","NN"
"such","ABL|IN_1|CS_1","ABL","short","JJ|RB|RB_2","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","notice","NN|VB","NN"
"&lsquo;","SQSO","SQSO","fares","NNS","NNS","&rsquo;","SQSC","SQSC","&period;","SPER|IN","SPER","freeze","NN|VB","NN"
"&lsquo;","SQSO","SQSO","fares","NNS","NNS","&rsquo;","SQSC","SQSC","for","IN|CS|IN_2","IN","freeze","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","on","IN|RP|RB_3","IN","costs","NNS|VBZ","NNS","effect","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","this","DT|QL","DT","effect","NN|VB","NN"
"to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","1963","CD","CD","spring","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","rising","VBG|JJ|NN","JJ","face","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","good","JJ|NN|AP_2","JJ","of","IN|RB_1|IN_3","IN","concern","NN|VB","NN","deal","NN|VB","NN"
"deal","NN|VB","NN","of","IN|RB_1|IN_3","IN","has","HVZ","HVZ","been","BEN","BEN","concern","NN|VB","NN"
"European","JNP|NNP","JNP","air","NN|FW","NN","by","IN|RP|IN_1","IN","the","ATI|RB_2|NC","ATI","transport","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","basic","JJ","JJ","of","IN|RB_1|IN_3","IN","about","IN|RB|RP","RB","rate","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","full","JJ|RB_2|RB","JJ","of","IN|RB_1|IN_3","IN","&pound;","NNU","NNU","rate","NN|VB","NN"
"at","IN|RB_1|NC","IN","a","AT|AP_1|RB_1","AT","beyond","IN|RI|NN","IN","Europe","NP","NP","point","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","basic","JJ","JJ","goes","VBZ","VBZ","up","RP|IN|JJ_2","RP","rate","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","full","JJ|RB_2|RB","JJ","from","IN|IN_2|RB_2","IN","about","IN|RB|RP","RB","rate","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","will","MD|NN|VB","MD","be","BE|RB_2","BE","effect","NN|VB","NN"
"cancelling","VBG","VBG","out","RP|IN|JJB","RP","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","part","NN|VB","NN"
"from","IN|IN_2|RB_2","IN","that","CS|DT|WPR","DT","&period;","SPER|IN","SPER","<O>","<O>","<O>","date","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","same","AP","AP","that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","date","NN|VB","NN"
"avowed","JJ","JJ","long-term","JJB","JJB","of","IN|RB_1|IN_3","IN","slashing","JJ|VBG","VBG","aim","NN|VB","NN"
"at","IN|RB_1|NC","IN","a","AT|AP_1|RB_1","AT","later","RBR|JJR","RBR","in","IN|RP|RB_1","IN","date","NN|VB","NN"
"John","NP","NP","Brown","NP","NP","boilers","NNS","NNS","and","CC|RB_1|RB_2","CC","land","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","condensers","NNS","NNS","are","BER","BER","steam","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","new","JJ","JJ","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","work","NN|VB","NN"
"&comma;","SCOM","SCOM","including","IN|VBG","IN","&comma;","SCOM","SCOM","and","CC|RB_1|RB_2","CC","radio","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","new","JJ","JJ","which","WDTR|WDT","WDTR","follows","VBZ","VBZ","venture","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","independent","JJ|NN","JJ","&apos;s","GENM|BEZ|HVZ","GENM","recommendation","NN","NN","commission","NN|VB","NN"
"is","BEZ|NC","BEZ","the","ATI|RB_2|NC","ATI","available","JJ","JJ","and","CC|RB_1|RB_2","CC","trade","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","but","CC|IN|RI","CC","&comma;","SCOM","SCOM","market","NN|VB","NN"
"until","CS|IN","CS","the","ATI|RB_2|NC","ATI","appears","VBZ","VBZ","in","IN|RP|RB_1","IN","decree","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","which","WDTR|WDT","WDTR","takes","VBZ","VBZ","market","NN|VB","NN"
"which","WDTR|WDT","WDTR","takes","VBZ","VBZ","automatically","RB","RB","at","IN|RB_1|NC","IN","place","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","French","JNP|NNP|NNPS","JNP","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","are","BER","BER","to","TO|IN|IN_2","TO","market","NN|VB","NN"
"ministry","NN","NN","of","IN|RB_1|IN_3","IN","said","VBD|VBN|JJ","VBD","that","CS|DT|WPR","CS","finance","NN|VB","NN"
"its","PPG","PPG","turning","VBG|NN","NN","was","BEDZ","BEDZ","endorsed","VBD|VBN","VBN","point","NN|VB","NN"
"strongly","RB","RB","in","IN|RP|RB_1","IN","&rsquo;","SQSC","SQSC","of","IN|RB_1|IN_3","IN","favour","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","temporary","JJ","JJ","cut","VBN|VB|NN","NN","to","TO|IN|IN_2","TO","tax","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","for","IN|CS|IN_2","IN","workless","JJ","JJ","aid","NN|VB","NN"
"in","IN|RP|RB_1","IN","additional","JJ","JJ","for","IN|CS|IN_2","IN","unemployed","JJ","JJ","aid","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","grains","NNS","NNS","bill","NN","NN","feed","NN|VB","NN"
"survived","VBN|VBD","VBN","its","PPG","PPG","through","IN|RP|JJB","IN","Congress","NP","NP","progress","NN|VB","NN"
"relatively","RB","RB","slow","JJ|VB|RB","JJ","to","TO|IN|IN_2","IN","full","JJ|RB_2|RB","JJ","return","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","a","AT|AP_1|RB_1","AT","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","rise","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","minimum","NN|JJ","JJ","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","wage","NN|VB","NN"
"for","IN|CS|IN_2","IN","House","NPL","NPL","this","DT|QL","DT","week","NN","NN","debate","NN|VB","NN"
"but","CC|IN|RI","CC","another","DT|PPLS_2","DT","is","BEZ|NC","BEZ","that","CS|DT|WPR","CS","reason","NN|VB","NN"
"with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","proposals","NNS","NNS","flood","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","view","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","had","HVD|HVN","HVD","been","BEN","BEN","rise","NN|VB","NN"
"out","RP|IN|JJB","RP","much","AP|RB","AP","&period;","SPER|IN","SPER","<O>","<O>","<O>","stock","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","slight","JJ|NN","JJ","to","TO|IN|IN_2","IN","a","AT|AP_1|RB_1","AT","bias","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","sixpenny","JJB","JJB","at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","bargain","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","exchange","NN|VB","NN","&period;","SPER|IN","SPER","stock","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","stock","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","exchange","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","great","JJ|AP_2|NP","JJ","of","IN|RB_1|IN_3","IN","money","NN","NN","deal","NN|VB","NN"
"has","HVZ","HVZ","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","operating","VBG|NN|JJ","JJ","number","NN|VB","NN"
"an","AT","AT","issuing","VBG|NN|JJ","JJ","specialising","VBG","VBG","in","IN|RP|RB_1","IN","house","NN|VB","NN"
"brought","VBN|VBD","VBN","to","TO|IN|IN_2","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"their","PPG","PPG","nominal","JJ","JJ","is","BEZ|NC","BEZ","6","CD","CD","value","NN|VB","NN"
"but","CC|IN|RI","CC","their","PPG","PPG","value","NN|VB","NN","is","BEZ|NC","BEZ","market","NN|VB","NN"
"their","PPG","PPG","market","NN|VB","NN","is","BEZ|NC","BEZ","around","IN|RP|RB","RB","value","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","figures","NNS|VBZ","NNS","for","IN|CS|IN_2","IN","profit","NN|VB","NN"
"sixpenny","JJB","JJB","ordinary","JJ|NN","JJ","and","CC|RB_1|RB_2","CC","three","CD","CD","share","NN|VB","NN"
"have","HV","HV","no","ATI|UH|RB","ATI","quotation","NN","NN","yet","RB|CC|RB_2","RB","market","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","will","MD|NN|VB","MD","be","BE|RB_2","BE","trade","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","exchange","NN|VB","NN","&period;","SPER|IN","SPER","stock","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","stock","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","exchange","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","company","NN","NN","of","IN|RB_1|IN_3","IN","steel","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","section","NN","NN","&comma;","SCOM","SCOM","paper","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","three-million-dollar","JJB","JJB","purchase","NN|VB","NN","in","IN|RP|RB_1","IN","share","NN|VB","NN"
"three-million-dollar","JJB","JJB","share","NN|VB","NN","in","IN|RP|RB_1","IN","great","JJ|AP_2|NP","NP","purchase","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","white","JJ|NN","JJ","&comma;","SCOM","SCOM","out","RP|IN|JJB","RP","paper","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","British","JNP|NNPS","JNP","commission","NN|VB","NN","and","CC|RB_1|RB_2","CC","transport","NN|VB","NN"
"British","JNP|NNPS","JNP","transport","NN|VB","NN","and","CC|RB_1|RB_2","CC","the","ATI|RB_2|NC","ATI","commission","NN|VB","NN"
"&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","firm","NN|JJ","NN","&comma;","SCOM","SCOM","store","NN|VB","NN"
"those","DTS","DTS","in","IN|RP|RB_1","IN","&comma;","SCOM","SCOM","are","BER","BER","issue","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","time","NN|RB_1|NC","NN","&dash;","SDSH","SDSH","boom","NN|VB","NN"
"&dash;","SDSH","SDSH","and","CC|RB_1|RB_2","CC","rate","NN|VB","NN","may","MD|NN|RB_1","MD","bank","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","bank","NN|VB","NN","may","MD|NN|RB_1","MD","be","BE|RB_2","BE","rate","NN|VB","NN"
"believes","VBZ","VBZ","the","ATI|RB_2|NC","ATI","rate","NN|VB","NN","will","MD|NN|VB","MD","bank","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","bank","NN|VB","NN","will","MD|NN|VB","MD","be","BE|RB_2","BE","rate","NN|VB","NN"
"with","IN|IN_2|RI","IN","hard","JJ|RB|JJ_1","JJ","&comma;","SCOM","SCOM","and","CC|RB_1|RB_2","CC","cash","NN|VB","NN"
"millions","CDS","CDS","in","IN|RP|RB_1","IN","values","NNS","NNS","&period;","SPER|IN","SPER","share","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","gilt-edged","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"Fison","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","should","MD","MD","be","BE|RB_2","BE","report","NN|VB","NN"
"out","RP|IN|JJB","RP","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","date","NN|VB","NN"
"great","JJ|AP_2|NP","JJ","nitrogen","NN","NN","at","IN|RB_1|NC","IN","Milford","NP","NP","plant","NN|VB","NN"
"that","CS|DT|WPR","CS","this","DT|QL","DT","has","HVZ","HVZ","now","RN|CS_1|CS","RN","figure","NN|VB","NN"
"Milford","NP","NP","Haven","NPL","NPL","has","HVZ","HVZ","been","BEN","BEN","project","NN|VB","NN"
"<O>","<O>","<O>","although","CS","CS","sales","NNS","NNS","of","IN|RB_1|IN_3","IN","group","NN|VB","NN"
"&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","came","VBD","VBD","down","RP|IN|JJB","RP","profit","NN|VB","NN"
"second","OD|NN|RB","OD","highest","JJT","JJT","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","figure","NN|VB","NN"
"year","NN","NN","the","ATI|RB_2|NC","ATI","should","MD","MD","be","BE|RB_2","BE","figure","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","new","JJ","JJ","&comma;","SCOM","SCOM","in","IN|RP|RB_1","IN","camp","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","rise","NN|VB","NN"
"Stedeford","NP","NP","&comma;","SCOM","SCOM","of","IN|RB_1|IN_3","IN","mighty","JJ|QL","JJ","master","NN|VB","NN"
"to","TO|IN|IN_2","IN","a","AT|AP_1|RB_1","AT","&pound;","NNU","NNU","27","CD","CD","record","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","of","IN|RB_1|IN_3","RB_1","figure","NN|VB","NN"
"after","IN|CS|RI","CS","the","ATI|RB_2|NC","ATI","market","NN|VB","NN","had","HVD|HVN","HVD","stock","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","stock","NN|VB","NN","had","HVD|HVN","HVD","closed","VBN|VBD|JJ","VBN","market","NN|VB","NN"
"launched","VBN|VBD","VBD","a","AT|AP_1|RB_1","AT","at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","campaign","NN|VB","NN"
"to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","struggle","NN|VB","NN"
"new","JJ","JJ","drinking","VBG|NN|JJ","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"is","BEZ|NC","BEZ","at","IN|RB_1|NC","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","stake","NN|VB","NN"
"year","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","of","IN|RB_1|IN_3","IN","&pound;","NNU","NNU","profit","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","markets","NNS","NNS","yesterday","NR","NR","stock","NN|VB","NN"
"under","IN|RB|RP","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","recent","JJ","JJ","influence","NN|VB","NN"
"holding","VBG|NN","VBG","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","line","NN|VB","NN"
"year","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","to","TO|IN|IN_2","IN","September","NR","NR","profit","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","Enox","NP","NP","tools","NNS","NNS","&comma;","SCOM","SCOM","hand","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","reason","NN|VB","NN"
"convertible","JJ|NN","JJ","loan","NN","NN","&comma;","SCOM","SCOM","for","IN|CS|IN_2","IN","stock","NN|VB","NN"
"making","VBG|NN","VBG","rolling","JJ|VBG|NN","JJ","for","IN|CS|IN_2","IN","railways","NNS","NNS","stock","NN|VB","NN"
"facing","VBG|JJ|NN","VBG","bad","JJ|RB","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","winter","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","hard","JJ|RB|JJ_1","JJ","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","winter","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","huge","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","demand","NN|VB","NN"
"&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","could","MD","MD","be","BE|RB_2","BE","winter","NN|VB","NN"
"be","BE|RB_2","BE","a","AT|AP_1|RB_1","AT","time","NN|RB_1|NC","NN","for","IN|CS|IN_2","IN","bargain","NN|VB","NN"
"with","IN|IN_2|RI","IN","ready","JJ|NN|RB","JJ","who","WPR|WP","WPR","can","MD|NN","MD","cash","NN|VB","NN"
"into","IN","IN","a","AT|AP_1|RB_1","AT","that","CS|DT|WPR","WPR","goes","VBZ","VBZ","queue","NN|VB","NN"
"building","NN|VBG","NN","society","NN","NN","managers","NNS","NNS","&period;","SPER|IN","SPER","branch","NN|VB","NN"
"whose","WPGR|WPG","WPGR","set-the-people-free","JJB","JJB","act","NN|VB","NN","brought","VBN|VBD","VBD","rent","NN|VB","NN"
"set-the-people-free","JJB","JJB","rent","NN|VB","NN","brought","VBN|VBD","VBD","about","IN|RB|RP","RP","act","NN|VB","NN"
"but","CC|IN|RI","CC","smaller","JJR","JJR","&period;","SPER|IN","SPER","<O>","<O>","<O>","profit","NN|VB","NN"
"83&comma;451&comma;000","CD","CD","but","CC|IN|RI","CC","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","profit","NN|VB","NN"
"ignorance","NN","NN","and","CC|RB_1|RB_2","CC","inexcusable","JJ","JJ","and","CC|RB_1|RB_2","CC","prejudice","NN|VB","NN"
"at","IN|RB_1|NC","IN","an","AT","AT","well","RB|UH|CC_2","RB","below","IN|RI","IN","estimate","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","unique","JJ","JJ","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","figure","NN|VB","NN"
"&comma;","SCOM","SCOM","for","IN|CS|IN_2","IN","&comma;","SCOM","SCOM","was","BEDZ","BEDZ","instance","NN|VB","NN"
"an","AT","AT","improbable","JJ","JJ",")","SBC","SBC","than","IN|CS|RB_2","CS","champion","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","uneven","JJ","JJ","of","IN|RB_1|IN_3","IN","his","PPG|PPGG","PPG","value","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","minor","JJ|NN","JJ","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","master","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","piano","NN|NC","NN","field","NN|VB","NN"
"found","VBN|VBD|JJ","VBN","their","PPG","PPG","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","place","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","&comma;","SCOM","SCOM","is","BEZ|NC","BEZ","hand","NN|VB","NN"
"<O>","<O>","<O>","this","DT|QL","DT","of","IN|RB_1|IN_3","IN","critical","JJ","JJ","lack","NN|VB","NN"
